season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2021,4569181,Kyle Maxwell,WR,Louisiana Tech,Conference USA,6,0.338,0.338,,0.009,1.408,0.584,0.124,1.408,2.027,2.027,,0.035,1.408,0.584,0.619,1.408
2021,4429001,Jase McClellan,RB,Alabama,SEC,52,0.338,1.118,0.104,0.147,0.232,0.809,0.304,0.481,17.587,13.417,4.171,3.978,3.475,7.28,12.775,4.812
2021,4360799,Jordan Travis,QB,Florida State,ACC,319,0.339,0.336,0.345,0.169,0.377,0.504,0.253,0.504,108.263,71.668,36.595,24.063,34.352,39.795,52.865,55.398
2021,4689274,Justin Rodriguez,RB,UT San Antonio,Conference USA,3,0.339,2.333,-0.657,-0.428,-0.887,2.333,-0.657,2.333,1.018,2.333,-1.315,-0.428,-0.887,2.333,-1.315,2.333
2021,4362738,AJ Lewis,TE,Troy,Sun Belt,9,0.341,0.341,,0.147,0.062,2.228,0.17,0.682,3.065,3.065,,0.59,0.246,2.228,1.02,2.045
2021,4240756,Tanner Morgan,QB,Minnesota,Big Ten,301,0.341,0.358,0.233,0.24,0.236,0.509,0.215,0.452,102.667,93.342,9.325,20.651,28.801,44.27,30.367,72.299
2021,4259219,Henry Colombi,QB,Texas Tech,Big 12,180,0.341,0.351,0.276,0.11,0.331,0.918,0.289,0.429,61.291,54.122,7.168,8.148,19.533,33.957,32.945,28.346
2021,4685939,Shermari Jones,RB,Coastal Carolina,Sun Belt,132,0.342,0.113,0.349,0.252,0.458,0.562,0.294,0.594,45.16,0.453,44.707,17.645,18.791,10.671,32.689,12.471
2021,4363551,Dylan Drummond,WR,Eastern Michigan,Mid-American,88,0.342,0.342,,0.289,0.268,0.65,0.28,0.508,30.13,30.13,,14.736,5.636,9.753,17.943,12.187
2021,4244068,Dustin Crum,QB,Kent State,Mid-American,507,0.343,0.281,0.557,0.306,0.303,0.559,0.33,0.369,173.885,110.398,63.487,69.75,49.445,57.064,110.808,63.077
